row,chars,conf
2381,"Cyclops, Marvel Girl, Wolverine, Colossus, Nightcrawler",🟢
2382,"Cyclops, Emma Frost",🟢
2383,"Storm, Wolverine, Professor X, Emma Frost",🟢
2384,Astonishing X-Men character - this is Emma Frost,🟢
2385,Wolverine,🟢
2386,"Emma Frost, Stepford Cuckoos",🟢
2387,"X-Men, Beast, Wolverine, Cyclops, Storm, Nightcrawler",🟢
2388,"Cyclops, Marvel Girl, Angel, Beast, Iceman, Havok, Polaris, Magneto",🟢
2389,"Wolverine, Psylocke, Angel, Colossus",🟢
2390,"Wolverine, Cyclops, Marvel Girl, Angel, Beast, Iceman",🟢
2391,"Colossus, Storm, Wolverine, Nightcrawler, Angel, Beast, Iceman",🟢
2392,"Wolverine, Emma Frost",🟢
2393,"Wolverine, Storm, Colossus, Psylocke, Warpath, Beast",🟢
2394,"Cyclops, Emma Frost, Wolverine, Colossus, Magik",🟢
2395,"Astonishing Men, Wolverine",🟢
2396,"Thanos, Wolverine, Cyclops, Emma Frost, Colossus",🟢
2397,"Magik, Lockheed, Warpath",🟢
2398,Emma Frost,🟢
2399,Thor,🟢
2400,"Professor X, Psylocke, Magneto",🟢
2401,"Cable, Gambit",🟢
2402,"Cable, Storm, Wolverine",🟢
2403,"Cable, Wolverine, Magneto, Storm, Cyclops",🟢
2404,"Cable, Hope Summers",🟢
2405,"Cable, Professor X, Magneto",🟢
2406,"Professor X, Cyclops, Marvel Girl, Angel, Beast, Iceman",🟢
2407,"Wolverine, Cyclops, Jean Grey, Storm",🟢
2408,"Wolverine, Psylocke, Magneto",🟢
2409,"Cable, Psylocke, Wolverine, Gambit, Storm, Bishop",🟢
2410,"Cable, Hope Summers",🟢
2411,"Cable, Bishop",🟢
2412,"Magneto, Psylocke, Archangel, Nightcrawler, Banshee, Marvel Girl, Wolverine",🟢
2413,"Psylocke, Wolverine, Cyclops, Angel",🟢
2414,"Wolverine, Psylocke",🟢
2415,"Psylocke, Archangel, Wolverine, Nightcrawler, Professor X",🟢
2416,"Wolverine, Beast, Angel, Psylocke, Professor X",🟢
2417,"Psylocke, Magneto, Archangel",🟢
2418,"Wolverine, Psylocke, Cable, Deadpool",🟢
2419,"Wolverine, Storm, Iceman",🟢
2420,"Magneto, Storm",🟢
2421,"Archangel, Wolverine",🟢
2422,"Cyclops, Marvel Girl, Angel, Beast, Iceman",🟢
2423,Psylocke,🟢
2424,"Colossus, Emma Frost",🟢
2425,"Wolverine, Psylocke",🟢
2426,Psylocke,🟢
2427,"Cyclops, Storm, Wolverine, Angel, Beast, Jean Grey",🟢
2428,Jubilee,🟢
2429,"Psylocke, Wolverine, Storm",🟢
2430,Rogue,🟢
2431,"Wolverine, Psylocke, Storm, Cyclops, Beast, Angel, Nightcrawler",🟢
2432,"Cyclops, Emma Frost, Magneto, Professor X, Wolverine, Psylocke, Colossus, Beast",🟢
2433,"Wolverine, Psylocke, Beast, Colossus, Storm",🟢
2434,"Wolverine, Psylocke, Beast, Cable",🟢
2435,"Psylocke, Wolverine, Nightcrawler, Colossus, Storm",🟢
2436,"Cyclops, Wolverine, Phoenix",🟢
2437,Wolverine,🟢
2438,Cyclops,🟢
2439,"Polaris, Wolverine",🟢
2440,"Rogue, Professor X, Cyclops, Beast, Emma Frost, Magneto, Beast (blue form)",🟢
2441,"Cyclops, Magneto",🟢
2442,"Sentinel, Sentinel",🟢
2443,"Wolverine, Cyclops, Beast, Rogue, Polaris, Storm, Professor X, Magneto",🟢
2444,"Psylocke, Jean Grey",🟢
2445,"Cyclops, Wolverine, Storm, Colossus, Nightcrawler, Psylocke",🟢
2446,"Wolverine, Storm, Magneto, Cyclops, Beast",🟢
2447,"Emma Frost, Gambit",🟢
2448,"Emma Frost, Storm, Psylocke, Rogue, Jubilee",🟢
2449,"Cyclops, Emma Frost, Magneto, Mystique, Beast, Wolverine",🟢
2450,"Cyclops, Emma Frost",🟢
2451,"Rogue, Rogue",🟢
2452,Wolverine,🟢
2453,"Wolverine, Cyclops, Rogue, Professor X",🟢
2454,"Cyclops, Storm, Wolverine, Colossus, Angel, Emma Frost",🟢
2455,"Wolverine, Colossus, Beast",🟢
2456,"Cyclops, Marvel Girl, Wolverine, Angel, Beast",🟢
2457,"Wolverine, Hawkeye",🟢
2458,"Wolverine, Hawkeye",🟢
2459,Wolverine,🟢
2460,"Wolverine, Sabretooth",🟢
2461,"Cyclops, Marvel Girl, Angel, Beast, Iceman",🟢
2462,"Wolverine, Nightcrawler",🟢
2463,Storm,🟢
2464,"Wolverine, Iceman",🟢
2465,Emma Frost,🟢
2466,"Captain America, Iron Man, Thor, Black Widow, Hulk, Hawkeye",🟢
2467,"Rogue, Sentinel",🟢
2468,"Wolverine, Cyclops, Storm, Colossus, Nightcrawler",🟢
2469,"Colossus, Sentinel",🟢
2470,"Black Panther, Killmonger",🟢
2471,"Cyclops, Magneto",🟢
2472,Sentinel,🟢
2473,Wolverine,🟢
2474,"Angel, Iceman, Beast, Angel (Warren Worthington)",🟢
2475,Cyclops,🟢
2476,"Wolverine, Colossus, Emma Frost, Hellfire Club member",🟢
2477,"Cyclops, Emma Frost, Professor X",🟢
2478,"Spider-Man, Emma Frost, Wolverine, Cyclops",🟢
2479,"Spider-Man, Wolverine, Reptil",🟢
2480,"Wolverine, Nightcrawler",🟢
2481,"Wolverine, Storm, Cyclops, Beast, Angel, Iceman, Marvel Girl",🟢
2482,Magneto,🟢
2483,Emma Frost,🟢
2484,"Iceman, Human Torch, Emma Frost, Cyclops",🟢
2485,"Magneto, Sentinel",🟢
2486,"Wolverine, Psylocke, Nightcrawler",🟢
2487,"Cyclops, Psylocke, Hellfire Club",🟢
2488,"Cyclops, Beast, Psylocke, Wolverine, Storm, Nightcrawler",🟢
2489,"Storm, Iron Man",🟢
2490,"Gambit, Psylocke, Wolverine",🟢
2491,"Wolverine, Storm, Colossus",🟢
2492,"Wolverine, Magneto",🟢
2493,"Emma Frost, Cyclops, Wolverine, Colossus",🟢
2494,"Emma Frost, Colossus, Iceman",🟢
2495,"Magneto, Wolverine",🟢
2496,"Cyclops, Sentinel",🟢
2497,"Storm, Wolverine, Cyclops, Emma Frost, Iceman, Angel, Beast, Psylocke, Magneto",🟢
2498,"Wolverine, Cyclops, Marvel Girl, Beast, Angel, Iceman",🟢
2499,"Wolverine, Cyclops, Storm, Jean Grey, Colossus",🟢
2500,"Wolverine, Emma Frost",🟢
2501,"Rocket Raccoon, Star-Lord, Drax, Gamora, Groot",🟢
2502,Unknown,🔴
2503,"Cyclops, Emma Frost, Dazzler, Havok, Polaris",🟢
2504,"Wolverine, Professor X, Magneto, Jean Grey, Cyclops, Beast, Angel, Iceman",🟢
2505,"X-23, Sentinel",🟢
2506,"Rogue, Magneto",🟢
2507,"Magneto, Iceman, Angel, Beast, Cyclops, Marvel Girl, Wolverine",🟢
2508,Magneto,🟢
2509,"Dani Moonstar, Cannonball, Sunspot",🟢
2510,"Emma Frost, Hellfire Club Sentinel",🟢
2511,"Cyclops, Marvel Girl, Nightcrawler, Wolverine, Storm",🟢
2512,Gambit,🟢
2513,"Wolverine, Cyclops, Storm, Colossus, Nightcrawler, Angel, Beast, Sentinel, Apocalypse",🟢
2514,"X-Men, Wolverine",🟢
2515,"Wolverine, Beast",🟢
2516,"Wolverine, Nightcrawler, Emma Frost, Magneto",🟢
2517,"Phoenix, X-Men",🟢
2518,"X-23, Wolverine",🟢
2519,"Wolverine, Storm, Colossus, Nightcrawler, Angel, Beast, Emma Frost",🟢
2520,Xornada,🟢
2521,Unknown,🔴
2522,"Cyclops, Marvel Girl, Angel, Beast, Iceman, Professor X",🟢
2523,"Beast, Magneto",🟢
2524,"He-Man, Man-At-Arms, Teela, Beast Man, Orko, Stratos",🟢
2525,"Emma Frost, Hellfire Club members, Beast, Wolverine",🟢
2526,"Beak, Icarus, Anole",🟢
2527,"Sabretooth, Wolverine, Psylocke, Gambit",🟢
2528,"Beast, Wolverine, Rogue, Nightcrawler, Sabretooth",🟢
2529,"Mystique, Wolverine, Apocalypse",🟢
2530,"Magneto, Professor X, Cyclops, Marvel Girl, Beast, Iceman",🟢
2531,"Magneto, Exodus, Mystique, Colossus",🟢
2532,"Havok, Polaris, Longshot, Multiple Man, Quicksilver, Hulk",🟢
2533,"Magneto, Quicksilver, Scarlet Witch, Toad, Mastermind, Blob, Pyro",🟢
2534,"Cyclops, Marvel Girl, Beast, Angel, Iceman",🟢
2535,"Cyclops, Wolverine, Colossus, Psylocke",🟢
2536,"Magneto, Wolverine, Gambit, Rogue",🟢
2537,Gambit,🟢
2538,"Wolverine, Sabretooth",🟢
2539,Jean Grey,🟢
2540,"Psylocke, Beast, Wolverine",🟢
2541,Psylocke,🟢
2542,"Cyclops, Deadpool, Cable",🟢
2543,"Wolverine, Jean Grey",🟢
2544,"Wolverine, Storm, Cyclops, Marvel Girl, Angel, Beast",🟢
2545,Emma Frost,🟢
2546,Cyclops,🟢
2547,Jean Grey,🟢
2548,Wolverine,🟢
2549,"Beast, Wolverine, Iceman, Angel, Cyclops, Emma Frost, Professor X",🟢
2550,"Rogue, Emma Frost",🟢
2551,"Cyclops, Beast, Wolverine",🟢
2552,"Professor X, Beast, Nightcrawler, Angel",🟢
2553,"Cyclops, Wolverine, Professor X, Beast, Angel, Iceman",🟢
2554,Wolverine,🟢
2555,Magneto,🟢
2556,Gambit,🟢
2557,Wolverine,🟢
2558,"Emma Frost, Iceman, Sunfire",🟢
2559,"Colossus, Storm",🟢
2560,"Cyclops, Emma Frost, Angel, Beast, Iceman",🟢
2561,"Storm, Emma Frost, Rogue, Kitty Pryde, Rachel Summers, Psylocke",🟢
2562,"Wolverine, Sabretooth",🟢
2563,"Wolverine, Silver Fox",🟢
2564,"Wolverine, Jubilee",🟢
2565,Wolverine,🟢
2566,"Black Widow, Iron Man, Spider-Man",🟢
2567,Warlock,🟢
2568,Warlock,🟢
2569,Warlock,🟢
2570,"Warlock, Adam Warlock",🟢
2571,Warlock,🟢
2572,Domino,🟢
2573,"Domino, Doctor Octopus",🟢
2574,Domino,🟢
2575,Domino,🟢
2576,Jean Grey,🟢
2577,"Storm, Wolverine",🟢
2578,Cable,🟢
2579,Deadpool,🟢
2580,"Deadpool, Ghost Rider",🟢
2581,Deadpool,🟢
2582,"Deadpool, Cable",🟢
2583,"Deadpool, Cable",🟢
2584,"Iron Man, Skrull",🟢
2585,Deadpool,🟢
2586,"Deadpool, Thor",🟢
2587,Deadpool,🟢
2588,"Deadpool, Cable, Psylocke",🟢
2589,Deadpool,🟢
2590,Deadpool,🟢
2591,Deadpool,🟢
2592,Deadpool,🟢
2593,"Deadpool, Black Panther",🟢
2594,"Deadpool, Titania, Songbird",🟢
2595,Deadpool,🟢
2596,Deadpool,🟢
2597,Deadpool,🟢
2598,Deadpool,🟢
2599,"Deadpool, Death, Black Widow, Wolverine, Storm, Cable, X-Force",🟢
2600,Deadpool,🟢
2601,Deadpool,🟢
2602,"Deadpool, The Punisher",🟢
2603,Deadpool,🟢
2604,"Deadpool, Doctor Octopus",🟢
2605,Deadpool,🟢
2606,"Deadpool, Cable, Domino",🟢
2607,"Deadpool, Agent X, Wolverine",🟢
2608,"Deadpool, Weapon X",🟢
2609,Deadpool,🟢
2610,"Wolverine, Old Man Logan",🟢
2611,"Wolverine, Sabretooth, Psylocke",🟢
2612,Wolverine,🟢
2613,Unknown,🔴
2614,"Karnak, Iron Fist",🟢
2615,Karnak,🟢
2616,Karnak,🟢
2617,Unknown,🔴
2618,"Iron Man, Thor",🟢
2619,"Thor, Iron Man, Red Skull, Red Hulk, Black Panther",🟢
2620,"Thor, Black Panther, Captain Marvel",🟢
2621,"Iron Man, Captain America, Thor, Black Widow, Hawkeye, Hulk, The Thing",🟢
2622,"Captain Marvel, Iron Man",🟢
2623,"Captain America, Thor, Black Widow, Hulk, Iron Man, Hawkeye",🟢
2624,"Spider-Man, Captain America, Thor, Black Widow, Hawkeye",🟢
2625,"Captain America, Black Widow, Iron Man, Thor, Hulk",🟢
2626,"Spider-Man, Iron Man, Captain America, Thor, Hulk, Black Widow, Hawkeye, Thanos",🟢
2627,"Iron Man, Captain America, Thor, Black Widow, Hawkeye, Hulk",🟢
2628,"Captain America, Black Widow, Hulk",🟢
2629,Hulk,🟢
2630,Unknown,🔴
2631,"Thanos, The Black Order",🟢
2632,Vision,🟢
2633,Norman Osborn,🟢
2634,"Iron Man, Thor, Captain America, Black Widow, Hawkeye",🟢
2635,Vision,🟢
2636,"Captain America, Thor, Iron Man, Black Widow, Hawkeye",🟢
2637,"Iron Man, Hawkeye, Thor, Black Widow, Captain America, Hulk, Wasp",🟢
2638,"Thor, Iron Man, Vision",🟢
2639,"Hawkeye, Iron Man, Kang the Conqueror",🟢
2640,"Iron Man, Captain America, Thor, Black Widow, Hawkeye, Hulk",🟢
2641,"Spider-Man, Thor, Iron Man, Captain America, Hawkeye, Wasp",🟢
2642,Vision,🟢
2643,"Iron Man, Captain America, Thor, Black Widow, Hawkeye, Hulk",🟢
2644,"Scarlet Witch, Deadpool, Iron Man",🟢
2645,"Captain America, Steve Rogers",🟢
2646,Thor,🟢
2647,"Iron Man, Captain America, Thor, Black Widow, Hawkeye, Hulk",🟢
2648,"Vision, Deadpool, Captain Marvel, Cyclops, Emma Frost, Professor X, Black Bolt, Black Panther",🟢
2649,"Black Panther, Iron Man, Captain America, Thor, Hawkeye, Black Widow",🟢
2650,"Hulk, Iron Man, Captain America, Wasp, Sentry",🟢
2651,"Thanos, Iron Man, Captain America, Thor, Hulk, Black Widow, Hawkeye",🟢
2652,"Thorgrim, The Wrecking Crew",🟢
2653,"Thanos, Daredevil",🟢
2654,"Proxima Midnight, Corvus Glaive, Ebony Maw, Cull Obsidian, Black Widow, Scarlet Witch",🟢
2655,"Black Panther, Iron Man, Captain America, Thor, Hawkeye, Black Widow",🟢
2656,Abe Jenkins (MACH-IV),🟢
2657,"Hulk, Scarlet Witch",🟢
2658,"Wiccan, Hulkling, Kate Bishop, America Chavez",🟢
2659,"Iron Man, Thor, Captain America, Hulk, Black Widow, Hawkeye, Vision, Scarlet Witch",🟢
2660,"Scarlet Witch, The Demiurge",🟢
2661,"Thor, Scarlet Witch, Black Widow, Captain America, Hawkeye, Loki",🟢
2662,"Scarlet Witch, Quicksilver, Hawkeye",🟢
2663,"Uncanny Avengers, Captain America, Scarlet Witch, Wolverine",🟢
2664,"Iron Man, Captain America",🟢
2665,"Black Panther, Wasp, Thor, Scarlet Witch, Captain America, Cyclops, Colossus, Daredevil",🟢
2666,"Sentinel, Magneto",🟢
2667,"Thor, Wolverine, Captain America, Iron Man, Hawkeye",🟢
2668,"Human Torch, Iceman, Angel, Beast, Cyclops",🟢
2669,"Scarlet Witch, Uncanny Avengers",🟢
2670,"Magneto, Psylocke, Archangel, Iceman",🟢
2671,Wolverine,🟢
2672,"Captain America, Scarlet Witch, Hawkeye, Daredevil, Thor",🟢
2673,"Emma Frost, Scarlet Witch, Moonstone",🟢
2674,"Loki, Iron Man, Hawkeye, Black Widow, Captain America, Thor, Hulk",🟢
2675,"Havok, Scarlet Witch, Wasp, Captain America, Wolverine, Wonder Man, Psylocke, Rogue",🟢
2676,"Iron Man, Loki, Wasp, Hawkeye, Wonder Man, Scarlet Witch",🟢
2677,"Uncanny X-Men, Captain America, Iron Man",🟢
2678,"Scarlet Witch, Thor, Wolverine",🟢
2679,"Scarlet Witch, Magneto, Psylocke, Wolverine",🟢
2680,"Spider-Man, Deadpool, Professor Xavier, Storm",🟢
2681,"The Uncanny Avengers, Vision, Scarlet Witch, Rogue, Havok, Sunfire, Wasp",🟢
2682,"Rogue, Gambit",🟢
2683,"Scarlet Witch, Vision",🟢
2684,Ultron,🟢
2685,"Iron Man, Captain America, Thor",🟢
2686,"Iron Man, Captain America, Thor, Black Widow, Wolverine",🟢
2687,"Captain America, Scarlet Witch, Vision, Falcon, Black Widow, Hawkeye, War Machine, Deadpool",🟢
2688,"Thor, Ant-Man",🟢
2689,"Captain America, Spider-Man, Iron Man, Thor, Hulk, Black Widow, Hawkeye, Vision",🟢
2690,"Nick Fury, Black Widow, Captain America, Hawkeye",🟢
2691,"Taskmaster, Black Widow",🟢
2692,"Steve Rogers, Dum Dum Dugan, Black Widow, Beast",🟢
2693,"Iron Man, Captain America, Thor, Hawkeye, Black Widow, Hulk, Nick Fury",🟢
2694,Nick Fury,🟢
2695,"Black Widow, Captain America, Wolverine, Mockingbird",🟢
2696,"Hulk, Black Widow, Hawkeye, Nick Fury, War Machine",🟢
2697,"Agent Coulson, Mockingbird",🟢
2698,Maria Rambeau,🟢
2699,"Iron Man, Captain America, Thor, Wolverine, Spider-Man, Black Widow, Hawkeye, Hulk",🟢
2700,"Captain America, Black Widow, Hawkeye, Black Panther",🟢
2701,"Thor, Vision, Red Hulk, Hawkeye",🟢
2702,"Black Widow, Beast, Mr. Fantastic",🟢
2703,"Venom, Thing",🟢
2704,"Medusa, Thanos",🟢
2705,"Black Widow, Hawkeye, Iron Man",🟢
2706,"Ant-Man, Norman Osborn",🟢
2707,"Taskmaster, Black Widow, Bullseye",🟢
2708,"Daredevil, Iron Man, Captain America, Thor, Wolverine, Spider-Man",🟢
2709,"Deadpool, Black Widow, Hawkeye, Green Goblin, Doctor Octopus, Taskmaster, Wolverine, Daredevil",🟢
2710,"Norman Osborn, Iron Man, Captain America, Thor, Wolverine",🟢
2711,Unknown,🔴
2712,"Luke Cage, Thing, Black Widow, Wolverine, Spider-Man",🟢
2713,"Luke Cage, Iron Fist, Thing",🟢
2714,"Thor, Spider-Woman, Iron Man",🟢
2715,"Scarlet Witch, Iron Fist, Hulk, Black Panther, Hawkeye",🟢
2716,"Scarlet Witch, Vision, Doctor Doom",🟢
2717,"Iron Man, Captain America, Hawkeye, Hulk",🟢
2718,"The Hulk, Black Widow",🟢
2719,"Hawkeye, Scarlet Witch, Black Widow",🟢
2720,"Captain America, Iron Man, Thor, Hulk",🟢
2721,"Thor, Hawkeye",🟢
2722,"Moon Knight, Ms. Marvel, Wolverine, Thing, Iron Man, Scarlet Witch",🟢
2723,"Captain America, Iron Man, Spider-Man, Wasp, Hawkeye, Scarlet Witch, Vision, Black Widow, Falcon",🟢
2724,Vision,🟢
2725,Daisy Johnson,🟢
2726,"Wolverine, Magneto, Mystique, Sabretooth, Psylocke, Toad, Sentinels, Scarlet Witch, Quicksilver, Emma Frost",🟢
2727,Swamp Thing,🟢
2728,Avengers,🟢
2729,"X-23, Dark Hawk",🟢
2730,Hawkeye,🟢
2731,"Deadpool, Cable, Domino, Psylocke, Fantomex, Wolverine, Archangel",🟢
2732,"Black Widow, Wolverine, Hulk, Captain America, Thor, Iron Man",🟢
2733,"Hopeless, Walker, Gordan, Beauileu",🟢
2734,"Iron Man, Scarlet Witch",🟢
2735,"Avengers Arena, Hopeless, Surcharelli, Beaujeu",🟢
2736,Wasp,🟢
2737,"Nico Minoru, Chase Stein",🟢
2738,"X-23, Laura Kinney",🟢
2739,Krona,🟢
2740,"Iron Man, Ultron, Hulk, Captain America",🟢
2741,"Ultron, Iron Man, Black Widow, Hawkeye, Captain America, Thor",🟢
2742,"Iron Man, Captain America, Thor, Black Widow, Hawkeye, Hulk, Wolverine, Cyclops, Beast, Angel",🟢
2743,"Ultron, Iron Man, Captain America, Thor, Black Widow, Hawkeye",🟢
2744,Unknown,🔴
2745,"Iron Man, Black Widow, Captain America, Hulk",🟢
2746,"Iron Man, Hulk, Thor, Captain America, Black Widow, Hawkeye",🟢
2747,"Wolverine, Invisible Woman",🟢
2748,"Wolverine, Wolverine",🟢
2749,"Ultron, Iron Man, Thor, Captain America, Hawkeye",🟢
2750,Thanos,🟢
2751,"Captain America, Iron Man, Wolverine, Thor",🟢
2752,"Captain America, Thor, Black Widow, Iron Man, Hawkeye, Hulk",🟢
2753,"Dark Avengers, Norman Osborn, Ares, Sentry, Bullseye, Daken, Ms. Marvel, Venom, Moonstone",🟢
2754,"Hulkling, Kate Bishop, Patriot, Wiccan, America Chavez",🟢
2755,"Wiccan, Hulkling, Patriot, Kate Bishop, Iron Lad",🟢
2756,"Spider-Man, Captain America",🟢
2757,"Spider-Man, Deadpool",🟢
2758,"Spider-Man, The Thing",🟢
2759,Hawkeye,🟢
2760,"Star-Lord, Groot, Rocket Raccoon, Gamora, Drax the Destroyer, Iron Man",🟢
2761,"Captain America, She-Hulk, Black Panther, Hawkeye, Scarlet Witch, Captain Marvel",🟢
2762,Doctor Strange,🟢
2763,"Ultraman, Ultraman Seven",🟢
2764,"Apocalypse, Blob, Mystique, Absorbing Man",🟢
2765,"Hawkeye, Kang the Conqueror",🟢
2766,"Iron Man, Hulk",🟢
2767,"Angel, Emma Frost, Beast, Iceman, Marvel Girl",🟢
2768,"Angel, Beast, Iceman, Marvel Girl, Cyclops",🟢
2769,"Iceman, Mirage",🟢
2770,"Rick Flag, Deadshot, Peacemaker",🟢
2771,"Silver Surfer, Doctor Doom, Iron Man, Spider-Man, Hulk, Thor",🟢
2772,"Jean Grey, Professor X, Magneto, Storm, Cyclops, White Queen, Psylocke",🟢
2773,The Marvels,🟢
2774,"Iron Man, Captain America, Thor, Black Widow, Hulk, Doctor Strange, Thanos",🟢
2775,"Storm, Phoenix",🟢
2776,"Cable, Wolverine, Domino, Psylocke",🟢
2777,"Iron Man, Thor, Phoenix, Luke Cage",🟢
2778,"Spider-Man, Mary Jane Watson",🟢
2779,"Iron Man, Black Widow, Vision, Scarlet Witch",🟢
2780,"Phoenix, Cable",🟢
2781,"Firestar, Nova, Speedball, Night Thrasher, Venom, El Pensador",🟢
2782,Red Wolf,🟢
2783,"Red Wolf, Dryad, Cheyenne",🟢
2784,Red Wolf,🟢
2785,"Jean Grey, Thanos, Namor",🟢
2786,"Jean Grey, Thanos, Magneto",🟢
2787,"Jean Grey, Thanos, Namor",🟢
2788,"Wolverine, Thanos, Namor",🟢
2789,"Psylocke, Thanos, Nova",🟢
2790,"Human Torch, Toro",🟢
2791,Cyclops,🟢
2792,"Wolverine, Dagger, Blade, Ghost Rider",🟢
2793,"Thor, Hulk, Iron Man",🟢
2794,"Wasp, Luke Cage, Mockingbird, Squirrel Girl",🟢
2795,Thor,🟢
2796,"Thor, Iron Man",🟢
2797,"Black Widow, Iron Man, Captain America, Thor, Hawkeye, Red Skull",🟢
2798,"Red Skull, Captain America",🟢
2799,"The Thing, Valkyrie",🟢
2800,"Black Widow, Iron Man, Captain America, Thor, Hawkeye, Red Skull",🟢
2801,"The Punisher, Luke Cage",🟢
2802,"The Punisher, Daredevil, Ghost Rider, The Man-Thing",🟢
2803,"The Fearless, Valkyrie, Misty Knight",🟢
2804,"Daredevil, Elektra",🟢
2805,"Iron Man, Wasp, Ant-Man, Yellowjacket, Thing, Human Torch, Invisible Woman, Mr. Fantastic",🟢
2806,"Ava Ayala, Taskmaster, Deadpool, The Punisher",🟢
2807,"Thanos, Gamora",🟢
2808,"Daken, Wolverine",🟢
2809,"Thor, Odin, Daredevil, Heimdall, Loki, Captain America, Iron Man, Black Widow, Hawkeye",🟢
2810,"Daredevil, Deadpool",🟢
2811,"Daredevil, Kingpin",🟢
2812,"Captain America, Hulk, Thor, Iron Man, Black Widow, Hawkeye",🟢
2813,"Daredevil, Kingpin, Elektra",🟢
2814,"Odin, Thor, Loki, Heimdall, Sif",🟢
2815,"Thor, Captain America, Loki, Black Panther, Captain Marvel, Scarlet Witch, Hawkeye, Wasp",🟢
2816,"Thor, Hela, Loki, Odin, Heimdall, Sif, Surtur",🟢
2817,Unknown,🔴
2818,"Wolverine, Psylocke, Storm, Magneto",🟢
2819,"Blade, Wolverine, Storm, Nightcrawler, Psylocke",🟢
2820,"Wolverine, Storm, Nightcrawler, Psylocke, Cable, Beast, Gambit, Professor Charles Xavier",🟢
2821,"Ren Tsukumo, Kyouko Hori",🟢
2822,Unknown,🔴
2823,"Thor, Iron Man, Captain America, Black Widow, Hulk",🟢
2824,"Agent Carter, Howard Stark, Woodrow McCord",🟢
2825,"Agent Carter, Howard Stark, Woodrow McCord",🟢
2826,"Agent Carter, Howard Stark, Woodrow McCord",🟢
2827,Unknown,🔴
2828,"Captain America, Spider-Man, Black Widow",🟢
2829,"Captain America, Spider-Man, Black Widow",🟢
2830,"Captain America, Spider-Man, Black Widow",🟢
2831,"Captain America, Spider-Man, Black Widow",🟢
2832,"Captain America, Spider-Man, Black Widow",🟢
2833,"Ghost Rider, Wolverine, Elektra, Blade, Punisher",🟢
2834,"Apocalypse, Dark Beast, Hellfire Club members",🟢
2835,"Spider-Man, Carnage, Doctor Strange, Darkoth",🟢
2836,"Black Widow, Hawkeye, Hulk, Thor, Iron Man, Scarlet Witch, Vision, Wasp",🟢
2837,"Luke Cage, Iron Fist, Daredevil",🟢
2838,"The Thing, Iron Man, Fantastic Four, Captain America",🟢
2839,"Captain America, Iron Man, The Thing, Human Torch, Invisible Woman, Mr. Fantastic",🟢
2840,"Hulk, Fantastic Four, Iron Man",🟢
2841,The Punisher,🟢
2842,The Punisher,🟢
2843,"Wolverine, Sabretooth",🟢
2844,"Iron Man, The Thing, The Hulk",🟢
2845,Captain America,🟢
2846,"Wolverine, Doctor Strange, Hulk",🟢
2847,"The Punisher, Daredevil",🟢
2848,"Namor, Invisible Woman",🟢
2849,"Jean Grey, Wolverine, Cyclops, Storm, Nightcrawler, Magneto",🟢
2850,"Royals, Black Bolt, Medusa, Gorgon, Karnak, Triton",🟢
2851,Royals,🟢
2852,Royale,🟢
2853,"Godzilla, Cyclops, Marvel Girl, Colossus, Nightcrawler, Storm, Wolverine",🟢
2854,"Godzilla, Invisible Woman, Human Torch, Mr. Fantastic, Thing, King Ghidorah",🟢
2855,"Captain America, Hulk, Black Widow",🟢
2856,"Storm, Jubilee, Ms. Marvel, Wolverine, Professor X",🟢
2857,"America Chavez, Kamala Khan, She-Hulk, Wolverine",🟢
2858,Star-Lord,🟢
2859,"Oshtur, Clea",🟢
2860,"Thor, Odin, Loki",🟢
2861,Nick Fury,🟢
2862,Nick Fury,🟢
2863,Nick Fury,🟢
2864,Nick Fury,🟢
2865,Nick Fury,🟢
2866,Nick Fury,🟢
2867,"Spider-Man, Captain America, Iron Man, Thor",🟢
2868,Kang the Conqueror,🟢
2869,Nick Fury,🟢
2870,Mosaic,🟢
2871,Unknown,🔴
2872,Scarlet Witch,🟢
2873,"Night Thrasher, Firestar",🟢
2874,America Chavez,🟢
2875,Spider-Man,🟢
2876,Iron Fist,🟢
2877,"Infinity Watch, Adam Warlock, Gamora, Drax, Rocket Raccoon, Groot, Star-Lord",🟢
2878,"Thanos, Iron Man, Captain Marvel, Black Widow, Hulk, Captain America, Thor",🟢
2879,"Thanos, Hulk, Captain America, Iron Man, Thor, Black Widow, Spider-Man, Doctor Strange",🟢
2880,"Scarlet Witch, Iron Man, Captain America, Black Widow, Spider-Man, Doctor Strange",🟢
2881,"Hulk, Thena, Eternals, Makari, Sprite, Druig",🟢
2882,Doctor Strange,🟢
2883,"Supreme, Captain America",🟢
2884,"Thor, Iron Man",🟢
2885,"Ghost Rider, Black Panther",🟢
2886,"Ghost Panther, T'Challa, Ava Starlight",🟢
2887,"Fin, Machine Man, Fangtooth, USA Bloodstone, Broccoli Men",🟢
2888,"Wolverine, Blonde Phantom, Misty Knight, Daredevil, Iron Fist",🟢
2889,"Jean Grey, Cyclops, Beast, Angel, Iceman",🟢
2890,Bobbi Morse,🟢
2891,"Nextwave, Monica Rambeau, Elsa Bloodstone, Aaron Stack, Tabitha Smith, Ching Lin",🟢
2892,"Nextwave, Monica Rambeau, Abe Jenkins, Tabby Smith, Elsa Bloodstone, Aaron Stack",🟢
2893,X-Men,🟢
2894,"Nextwave, Monica Rambeau, Elihas Starker, Tabitha Smith, Aaron Stack",🟢
