character,count
Combat,1
Force,1
Misery,1
Fourplay,1
Miss Truesdale,1
Kenesha,1
Eren Yeager,1
Mikasa Ackerman,1
Armin Arlert,1
Annie Leonhart,1
Reiner Braun,1
Bertholdt Hoover,1
Malcolm Reynolds,1
Jayne Cobb,1
Hoban 'Wash' Washburne,1
Captain Mal Reynolds,1
Khari,1
Crypt Keeper,1
various horror/monster characters,1
Powerhouse,1
Kyle Higgins,1
Marcelo Cowboy,1
Becca Carey,1
Radiant Yellow,1
Radiant Red,1
Radiant Blue,1
Div (The Dreaming),1
Dream of the Endless,1
Groudon,1
Kyogre,1
Ruby,1
Sapphire,1
Watson,1
Ilhan Omar,1
Rashida Tlaib,1
Ayanna Pressley,1
Babs Tarr,1
Mae,1
Erin,1
and Mac (Paper Girls cast),1
Margay Lee,1
Moné,1
Pepper,1
Gideon Graves,1
Ramona Flowers,1
Paper Girls,1
Monster,1
The Maxx,1
The Second Doctor,1
Jamie McCrimmon,1
Victoria Waterfield,1
Wake,1
Exiles,1
Gideon,1
Alex Power,1
Julie Power,1
Gee Gee Power,1
James Power,1
Feral,1
Trevor Fitzroy,1
Black Lantern Superman,1
Black Lantern Wonder Woman,1
Black Lantern Green Lantern,1
Black Lantern Batman,1
Osiris,1
Rorschach,1
Bedard Clarke,1
Omega Men,1
Rann-Thanagar War,1
The Weird,1
Jungle Girl,1
Rintrah,1
American Eagle,1
Sophie,1
Hellion,1
Tarot,1
Emma Frost (alternate version),1
Dante Alighieri,1
Beatrice Portinari,1
Virgil,1
various damned souls,1
Boom-Boom,1
Elf,1
Sarah Gaunt,1
Ilyana Rasputin,1
Graymalkyn,1
Agatha Harkness,1
Alex Summers,1
Amara Aquilla,1
Echo,1
Legion,1
Destiny,1
Iron Man (Tony Stark),1
Death (Apocalypse's Horseman),1
Uncanny X-Force,1
S.H.I.E.L.D,1
Arkea,1
Unus the Untouchable,1
Black Cortex,1
All-New X-Men,1
Dr. Nemesis,1
Adamantium,1
Forajida,1
Iguana,1
Coloso,1
Hellfire Club demons/demons,1
Hellfire Club demons,1
The Hand ninjas,1
Dead Man Logan,1
Black Dwarf,1
Warlord Krang,1
Killshaw,1
The Marauders,1
Ultimate Wolverine,1
Ultimate Colossus,1
Ultimate Professor X,1
Ava Starnes,1
Weapon H,1
Ultimate X-Men characters,1
Ultimate Thor,1
Ultimate Giant-Man,1
Ultimate Wasp,1
Blonde female character,1
Blonde superhero character in pink outfit,1
Krakoan,1
Empyrea,1
Skeletor,1
Paladin,1
Daredevil (Matt Murdock),1
Singularity,1
Helmut Zemo,1
Rayshaun Lucas,1
Captain Marvel (Carol Danvers),1
Enthulhu,1
Prime,1
Raz Malhotra,1
Jaidev Jariasson,1
The Wasp,1
Ava Stark,1
The Multiverse is Wild,1
Finnegan Sinclair,1
Hobgoblin,1
Thorgirl,1
Rulk,1
Omegex,1
Legion of Monsters,1
Kulan Gath,1
Hellcat,1
Olivia,1
Fin Fang Foom,1
Lady Hellbender,1
Hulk Smash,1
Whip,1
Titan,1
War Horse,1
A-Bomb,1
Thorg,1
Marstro,1
Wildguard,1
Stained Glass Scarlet Spider,1
Stiltman,1
Marlene Alraune,1
Marlene Moonstone,1
Bushman,1
Sinister,1
Ohana the Devil,1
Cloak and Dagger,1
The Defender,1
Hench,1
Hope van Dyne,1
Medina,1
Masacote,1
Gueriel,1
Deadlock,1
Leopold Fitz,1
Agents of S.H.I.E.L.D,1
Iron Nurse,1
Sasquatch,1
Puck,1
Northstar,1
Aurora,1
Shaman,1
Box,1
Vindicator,1
Lashina,1
Thorn,1
Sludge,1
Bugs Bunny,1
King Snake,1
Lady Eve,1
Buzz,1
Crocodile Man,1
Shack Timber,1
Amore,1
Guns,1
Amulet,1
Scarface,1
Stephanie Brown,1
Girl Wonder,1
Bird,1
Connor Hawke,1
Riot Grrls,1
Orca,1
League of Assassins,1
Libra,1
Amazo,1
Dr. Light,1
Dharma,1
Waxworks,1
Max,1
Jade,1
Judo Winick,1
Ciroq Anode,1
John Walsh,1
Indigo,1
Brainiac 8.0,1
Breach,1
Grant Wilson,1
Black King,1
Black Bishop,1
Council of Merlin,1
King Nereus,1
Alanna,1
The Omega Men,1
Jefferson Pierce,1
Jennifer Pierce,1
Anissa Pierce,1
demon,1
Cordelia Chase,1
Demons,1
Black Thunder,1
Grace,1
Black Queen,1
Boomerang,1
Frank Rock,1
Legion of the Damned characters including Lobo,1
John Constantine,1
Legionnaires,1
Validus,1
Emerald Empress,1
Tali,1
Lightning,1
Basil Ghoul,1
Monél,1
Fatal Five,1
Demon (Etrigan),1
Dream Crime storyline featuring Darkseid,1
Umbra,1
Matter-Eater Lad,1
Live Wire,1
Lone Wolf,1
Karate Kid,1
Ultra Boy,1
Quantum Mechanics characters,1
Lightning Lass,1
Colossal Boy,1
Livewire,1
Harvest,1
Gates,1
Mr. Miracle,1
Saddle,1
Overtkill,1
Psymon,1
Black Spider,1
Veil,1
Kid Flashback,1
Mates,1
Young Justice,1
Menos Uno,1
Joker's Daughter,1
Secret Society,1
Red Panzer,1
The Uncanny X-Men,1
Titans,1
Gar Logan,1
Mas y Menos,1
Silkie,1
Counselor Troi,1
Sulu,1
Kira,1
Gowron,1
Klingon Warrior (Defiant crew member),1
Dr. McCoy,1
Krell,1
Qu'Vara,1
Kol,1
Gorn,1
Janeway,1
Tasha Yar,1
Counselor Trask,1
Dr. Beverly Crusher,1
Wesley Crusher,1
Commander William T. Riker,1
Julian Bashir,1
Miles O'Brien,1
Garak,1
Raffi Musiker,1
Burnham,1
Lorca,1
Saru,1
Book,1
Adira,1
Gray Tal,1
Captain Kathryn Janeway,1
Harry Kim,1
Tom Paris,1
Neelix,1
Starfleet Officers,1
Romulans,1
Alexander Rozhenko,1
Curzon Dax,1
Monkey King,1
The Monkey Xing,1
Lieutenant Commander Krill,1
Lieutenant Commander Grayson,1
Lieutenant Malloy,1
Lieutenant Lamarr,1
Jessica Cruz,1
Element Lad,1
Primal Force,1
Convergence,1
Deimos,1
Man of Steel,1
Troia,1
Aphrodite,1
Hermes,1
Sasha Bordeaux,1
Jeannette,1
Secret Six members including Catman,1
Basilisk,1
Death (Grim Reaper),1
Omac,1
Diablo,1
Takeshi Yamamoto,1
Hayato Gokudera,1
Grid,1
Anubis,1
Inza Nelson,1
Future Flash,1
Overload,1
Killmachine,1
Komodo,1
Outsiders War,1
Diggle,1
Tatsu Yamashiro,1
Oliver Queen,1
Indigo Tribe,1
Dex-Starr,1
Bleez,1
Metallo,1
Animal Woman,1
Rotworld creature,1
Green II,1
Red,1
Caveman,1
Cliff Baker,1
Ellen Baker,1
Atlantis (depicted as the New King of Atlantis),1
The Others,1
Dead King,1
Chum,1
Inferno,1
Maximus,1
The Inhumans,1
Celestia,1
Makkari,1
Eternal,1
Marla Drake,1
Kree soldiers,1
Agent Phil Coulson,1
Dark Tempest,1
Feral Five,1
Jamie McKelvie,1
Knull,1
Judgment Day,1
Ren Kawaii,1
Talos,1
Kor the Conqueror,1
Nega-Bands,1
Negative Zone Entity,1
The Invisible Woman,1
The Fantastic Four,1
Amora,1
The Watcher,1
Negative Zone creatures,1
Frightful Four,1
Super-Skrull,1
Invisible Girl,1
Locust,1
Quasar,1
Nova (Sam Alexander),1
A.I.M. Agents,1
Aarim,1
Noia,1
Uatu the Watcher,1
Nova (Richard Rider),1
Axus,1
Noa,1
Grootling,1
Quill,1
Harpy,1
Abomination,1
Raphael,1
Donatello,1
Madcap,1
Foolkiller,1
Slapstick,1
Hitchhiker,1
Earth 2,1
Capucine,1
Famine,1
The Red Tornado,1
Graves,1
Crime Syndicate,1
Anti-Monitor,1
Starwoman,1
Eclipse,1
Stormwatch Engineer,1
Peter Quill,1
Vance Astro,1
Agent Venom,1
Black Venom,1
Peter Quill/Star-Lord,1
Moondragon,1
Black Costya,1
Thane,1
The Black Vortex,1
Aarradorr,1
Green Mist of Death,1
Fat Cobra,1
Steel Serpent,1
Prince of Orphans,1
Beautiful Harlot,1
The Iron Fist,1
The Immortal Weapon,1
Shou-Lao,1
Sister Dagger,1
the Mandarin,1
Katy Chen,1
Zheng Zu,1
Jiang Li,1
Sir Ben Hamode,1
Sister Hammer,1
Ching Hao,1
Tunnel Rat,1
Gung-Ho,1
Heavy Duty,1
Roy Batty,1
Barney Barton,1
Illuminati,1
Panther,1
Phantom Rider,1
Fraction,1
Aja,1
Hollingsworth,1
Hawkeye (Kate Bishop),1
Hawkeye (Clint Barton),1
Pizza Dog,1
Kate Bishop (Hawkeye),1
Clint Barton (Hawkeye),1
Red Widow,1
Lucky the Dog,1
Inhuman Royal Guard,1
Deadlok,1
Invasion by Skrulls,1
Captain America (foreground),1
Baron Mordo,1
Doctor Strange villains,1
Deathstrike,1
Strikeforce,1
Doctor Stephen Strange,1
Zelma Stanton,1
Zoe Zimmer,1
Tyrakian,1
Bloodstorm,1
Mighty Thor,1
Frost Giants,1
Tanarus,1
Arata Miyatsuki,1
Shigure Kondo,1
The Victim Syndicate,1
Mr. Oz,1
Speed Buggy,1
Super Sons,1
Super Boy,1
Jax,1
Clay Morrow,1
Dynomutt,1
Blue Falcon,1
Killer Squid,1
Terrific,1
Red Head,1
Demonic Entity/Demon,1
The Wildstorm (Jenny Sparks,1
Swift),1
Wild Storm,1
Space Ghost,1
Dino Boy,1
Jace,1
Zan,1
Grail,1
Jackals,1
Justice League International,1
Father Lost,1
Shy Pirate,1
Lion-Mane,1
David Zavimbe,1
Puseye,1
Lady Vic,1
Wolf Spider,1
Mad Hatter,1
Deathtrap,1
Black Diamond,1
Batmobile,1
Doctor Phosphorus,1
Madman,1
The Man Who Murdered His Parents,1
Tigris,1
The Marionette,1
Deathwing,1
The Outlaws,1
Essence,1
Red Knight,1
Roy Harper,1
Black Crest,1
Frankenstein,1
Crux,1
Talia al Ghul,1
Sportsmaster,1
Red Reddington,1
"Raymond ""Red"" Reddington",1
Paul Cornell,1
Neil Edwards,1
The Doctor (Eleventh),1
The Doctor (Tenth),1
The Doctor (Ninth),1
The Master,1
The Ninth Doctor,1
Nardole,1
Lone Ranger,1
Star Trek character,1
Green Lantern Corps member,1
The Fifteenth Doctor,1
The Borg,1
Cybermen,1
Doctor Who,1
William La Forge,1
Borg Drone,1
The Borg Queen,1
Khan,1
Admiral Alexander Marcus,1
Lady Loki,1
Lady Sif,1
Immonen,1
Schiti,1
Bellaire,1
Goats of Thunder,1
Ulik,1
Heimdall's dog,1
Kermit the Frog,1
God-Eater,1
Butcher,1
Elephantmen,1
Sym,1
Karnilla,1
Brunnhilde,1
The Worthy,1
Asgard's Assassin,1
Asgard,1
Queen of Hel,1
Batch H,1
Quicksand,1
Waiter,1
Harren,1
Centurious,1
T-Bolts,1
Mach IV,1
Southworth,1
Martin,1
Man-Bull,1
Slingshot,1
Gwenverse characters - Gwen Stacy,1
Snowball,1
Champions,1
Outlawed,1
Champion,1
Ironman,1
Hellfire and Brimstone Part 1 of 5,1
Iron Man (War Machine),1
Ultimate Electro,1
Larroca,1
Darmata,1
Iron Legion,1
Happy Hogan,1
The Godkiller,1
Godkiller,1
Hari Williams,1
Miles Morales Spider-Man,1
Marc Spector: Moon Knight,1
General Thaddeus Ross,1
Boomer,1
Goliath,1
Demona,1
Jiang Nan,1
Razorfist,1
Zombie (Simon Garth),1
Zombie (Drax),1
Zombie (Groot),1
Hunter B-15,1
Ravonna Renslayer,1
El Pensamor,1
Ítodo,1
Mystic,1
Star Brand,1
Izzy Cohen,1
Dino Manelli,1
Dirk Anger,1
Lobot,1
Emperor's Royal Guard,1
AT-AT,1
Egghead,1
Frank Castle (The Punisher),1
Fixer,1
Király Fen,1
Firepower,1
Zombie characters from Marvel Zombies storyline,1
Storm (variant),1
Green Man,1
Wasp (Janet van Dyne),1
Emperor Hulkling,1
Arrowolf,1
Spider-Punk,1
Hannibal King,1
Johnny Blaze,1
Danny Ketch,1
Hellstorm,1
Original Thunderbolts,1
Thunderbolt Ross,1
Masters of Evil,1
Xenomorph Queen,1
Cisma,1
Barb Wire,1
Madame Madbomb,1
Circe,1
Saw Gerrera,1
Yellow Jacket,1
Kara Danvers,1
Jessica Drew,1
Ye Olde Guardians of the Galaxy,1
Witch Hunter Angela,1
Damnation,1
Attilan Rising,1
Alex Wilder,1
Susan Storm,1
Spaceknight,1
Black Lantern Spectre,1
White Lantern,1
Zombie Green Lanterns,1
Deathstorm,1
The Immortus from Mars,1
Black Lantern,1
Woman of Tomorrow,1
Heatwave,1
Jem Kembel,1
Duke Hauser,1
Baroness (Anastasia Cisarovna),1
Flint,1
Covergirl,1
Vorians,1
Void,1
Ironhide,1
Doctor Droom,1
Ebb,1
Houdini,1
Dali,1
Tesla,1
Harry Houdini,1
Felix the Cat,1
Roy Tiger,1
Sorcerer Kings,1
Tempest,1
Atlantean King,1
Aquamarine,1
Doctor Manhattan,1
Monarch,1
Constantinas,1
Ballistic,1
Wildstar,1
The Crimson Dynamo,1
Ultimatron,1
Agent Venom (Flash Thompson),1
Clément Labrador,1
M.A.S.K,1
Kil,1
Destinna,1
Goofy,1
Bitter Root,1
Teen Lantern,1
Shadow Demon,1
Guardian,1
Batgirls,1
Gotham City Sirens,1
Shade,1
The Changing Man,1
Doctor Polaris,1
Azrael,1
Professor Pyg,1
